data,temp_średnia,temp_max,temp_min,tng,wilg_rh,wil_va,chmurka,v_wiatru,v1,v2,cisn_mslp,cisn_ppp,suma_opadu,opady_x,opady_y,snieg_cm,snieg_mm,1,2,3,4,5,6,7,8
2018-01-01,5.9,9.0,2.3,-,-,-,  6.7,  4.7,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-31,1.4,2.8,-1.3,-,-,-,  8.0,  5.3,-,-,-,-,1.0,-,-,  3,-,-,-,-,-,-,-,-,-
2017-12-30,-0.8,2.0,-2.2,-,-,-,  3.3,  4.7,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-29,1.5,3.3,0.2,-,-,-,  7.3,  3.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-28,2.5,4.3,0.1,-,-,-,  7.7,  2.0,-,-,-,-,10.5,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-27,1.9,5.8,0.2,-,-,-,  5.3,  3.3,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-26,4.8,6.8,2.8,-,-,-,  6.7,  4.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-25,7.1,7.9,6.8,-,-,-,  7.7,  6.7,-,-,-,-,1.6,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-24,7.5,8.3,6.8,-,-,-,  7.7,  9.7,-,-,-,-,5.8,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-23,5.2,7.8,1.7,-,-,-,  8.0, 10.0,-,-,-,-,4.2,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-22,3.1,4.4,2.3,-,-,-,  6.0,  7.0,-,-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-21,0.6,3.8,-4.6,-,-,-,  8.0,  5.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-20,-1.6,1.5,-3.0,-,-,-,  3.0,  2.0,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-19,-3.4,-1.6,-7.1,-,-,-,  7.7,  2.3,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-18,-5.1,-1.8,-6.7,-,-,-,  0.7,  1.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-17,-1.9,1.2,-3.3,-,-,-,  6.7,  3.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-16,0.1,1.5,-2.4,-,-,-,  7.3,  3.3,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-15,-0.2,2.7,-2.2,-,-,-,  5.3,  2.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-14,1.1,2.6,-0.6,-,-,-,  7.0,  5.0,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-13,0.8,2.6,0.0,-,-,-,  4.0,  5.3,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-12,4.3,7.4,1.5,-,-,-,  7.0,  6.3,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-11,0.3,2.6,-2.6,-,-,-,  8.0,  2.3,-,-,-,-,0.5,-,-,  3,-,-,-,-,-,-,-,-,-
2017-12-10,-0.9,1.1,-2.6,-,-,-,  6.3,  4.3,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-09,0.8,2.6,-0.2,-,-,-,  7.7,  5.3,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-08,3.1,5.0,2.0,-,-,-,  4.7,  5.0,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-07,5.1,6.9,3.7,-,-,-,  7.3,  5.7,-,-,-,-,2.6,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-06,6.5,6.9,5.8,-,-,-,  8.0,  7.0,-,-,-,-,6.7,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-05,3.0,6.3,-0.9,-,-,-,  6.7,  6.3,-,-,-,-,4.4,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-04,1.0,3.0,-1.2,-,-,-,  7.0,  4.3,-,-,-,-,0.0,-,-,  2,-,-,-,-,-,-,-,-,-
2017-12-03,-0.9,0.6,-2.5,-,-,-,  4.3,  6.7,-,-,-,-,1.4,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-02,0.5,2.6,-0.4,-,-,-,  4.7,  2.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-01,2.1,4.1,0.3,-,-,-,  7.7,  6.3,-,-,-,-,4.9,-,-,-,-,-,-,-,-,-,-,-,-
2018-02-01,2.5,5.8,0.9,-,-,-,  6.7,  2.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-31,2.0,3.3,0.6,-,-,-,  7.7,  2.7,-,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-30,3.6,7.0,0.8,-,-,-,  7.3,  9.7,-,-,-,-,5.8,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-29,6.3,8.9,4.4,-,-,-,  7.7,  9.0,-,-,-,-,5.2,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-28,4.2,6.3,2.0,-,-,-,  7.0,  9.3,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-27,2.8,4.4,1.1,-,-,-,  6.0,  4.3,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-26,3.6,5.0,2.6,-,-,-,  8.0,  1.0,-,-,-,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-25,5.4,7.3,4.4,-,-,-,  7.3,  3.7,-,-,-,-,7.4,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-24,0.8,4.7,-6.4,-,-,-,  8.0,  3.7,-,-,-,-,0.6,-,-, 15,-,-,-,-,-,-,-,-,-
2018-01-23,-6.4,-4.8,-8.6,-,-,-,  8.0,  3.3,-,-,-,-,0.0,-,-, 16,-,-,-,-,-,-,-,-,-
2018-01-22,-4.7,-2.7,-6.4,-,-,-,  8.0,  3.3,-,-,-,-,0.0,-,-, 19,-,-,-,-,-,-,-,-,-
2018-01-21,-2.4,-0.3,-4.3,-,-,-,  8.0,  0.7,-,-,-,-,3.9,-,-, 14,-,-,-,-,-,-,-,-,-
2018-01-20,-1.1,0.9,-2.8,-,-,-,  7.0,  0.7,-,-,-,-,0.0,-,-, 15,-,-,-,-,-,-,-,-,-
2018-01-19,-0.4,0.8,-1.5,-,-,-,  7.3,  3.7,-,-,-,-,0.5,-,-, 14,-,-,-,-,-,-,-,-,-
2018-01-18,-0.5,1.2,-1.5,-,-,-,  6.0,  4.7,-,-,-,-,4.6,-,-,  8,-,-,-,-,-,-,-,-,-
2018-01-17,-0.7,1.1,-3.8,-,-,-,  6.0,  4.0,-,-,-,-,0.6,-,-,  7,-,-,-,-,-,-,-,-,-
2018-01-16,-5.2,-3.8,-7.1,-,-,-,  8.0,  6.0,-,-,-,-,2.9,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-15,-6.7,-5.6,-7.5,-,-,-,  3.0,  5.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-14,-6.2,-3.8,-8.0,-,-,-,  8.0,  4.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-13,-3.1,-0.9,-4.3,-,-,-,  7.0,  5.7,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
2018-01-12,-2.9,0.0,-4.5,-,-,-,  8.0,  3.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
